NameYear,bibcode,ads_url,notes
Matute2013,2013A&A...557A..78M,https://ui.adsabs.harvard.edu/abs/2013A%26A...557A..78M/abstract,
Mazzucchelli2017,2017ApJ...849...91M,https://ui.adsabs.harvard.edu/abs/2017ApJ...849...91M/abstract,
Mazzucchelli2025,2025A&A...694A.171M,https://ui.adsabs.harvard.edu/abs/2025A%26A...694A.171M/abstract,
McGreer2006,2006ApJ...652..157M,https://ui.adsabs.harvard.edu/abs/2006ApJ...652..157M/abstract,
McGreer2013,2013ApJ...768..105M,https://ui.adsabs.harvard.edu/abs/2013ApJ...768..105M/abstract,
McGreer2018,2018AJ....155..131M,https://ui.adsabs.harvard.edu/abs/2018AJ....155..131M/abstract,
Meyer2022,2022ApJ...927..152M,https://ui.adsabs.harvard.edu/abs/2022ApJ...927..152M/abstract,
Morganson2012,2012AJ....143..142M,https://ui.adsabs.harvard.edu/abs/2012AJ....143..142M/abstract,
Mortlock2009,2009A&A...505...97M,https://ui.adsabs.harvard.edu/abs/2009A%26A...505...97M/abstract,
Mortlock2011,2011Natur.474..616M,https://ui.adsabs.harvard.edu/abs/2011Natur.474..616M/abstract,
Onken2022,2022MNRAS.511..572O,https://ui.adsabs.harvard.edu/abs/2021arXiv210512215O/abstract,
Pons2019,2019MNRAS.484.5142P,https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5142P/abstract,
Reed2015,2015MNRAS.454.3952R,https://ui.adsabs.harvard.edu/abs/2015MNRAS.454.3952R/abstract,
Reed2017,2017MNRAS.468.4702R,https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.4702R/abstract,
Reed2019,2019MNRAS.487.1874R,https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1874R/abstract,
Rojas2021,2021ApJ...920..150R,https://ui.adsabs.harvard.edu/abs/2021ApJ...920..150R/abstract,
Romani2004,2004ApJ...610L...9R,https://ui.adsabs.harvard.edu/abs/2004ApJ...610L...9R/abstract,
Schneider2010,2010AJ....139.2360S,https://ui.adsabs.harvard.edu/abs/2010AJ....139.2360S/abstract,
