name,ra_deg,dec_deg,redshift,m1450,M1450,disc_ref,disc_bibcode,redshift_ref,redshift_bibcode
J071931.84+381332.86,109.882658,38.225796,5.335,20.43,-26.08,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J003125.86+071036.92,7.85775,7.176922,5.33,20.21,-26.29,Wang2016,2016ApJ...819...24W,Wang2016,2016ApJ...819...24W
J000918.00-101723.00,2.324997,-10.289722,5.33,21.27,-25.23,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J152345.70+334759.84,230.940419,33.799956,5.33,20.25,-26.25,Lyke2020,2020ApJS..250....8L,Lyke2020,2020ApJS..250....8L
J222833.39+091547.23,337.139118,9.263118,5.33,20.27,-26.23,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J023104.77+071658.90,37.769879,7.283027,5.33,20.86,-25.64,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J011548.10+262000.06,18.950405,26.333349,5.33,21.38,-25.12,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J011614.31+053817.59,19.059605,5.638219,5.33,18.84,-27.66,Wang2016,2016ApJ...819...24W,Wang2016,2016ApJ...819...24W
J022604.75-091818.87,36.519773,-9.305242,5.32,20.68,-25.82,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J124413.67+862554.19,191.05696,86.43172,5.32,19.22,-27.28,Belladitta2023,2023A&A...669A.134,Belladitta2023,2023A&A...669A.134
J095330.88+700141.00,148.37867,70.028057,5.32,21.23,-25.27,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J093523.31-020754.40,143.847125,-2.131778,5.32,20.33,-26.17,Yang2017,2017AJ....153..184Y,Yang2017,2017AJ....153..184Y
J135747.34+530542.50,209.44725,53.095139,5.32,20.97,-25.53,McGreer2018,2018AJ....155..131M,McGreer2018,2018AJ....155..131M
J143751.83+232313.35,219.465938,23.387042,5.32,19.12,-27.38,Lyke2020,2020ApJS..250....8L,Zhu2023,2023ApJ...955..115Z
J235824.04+063437.40,359.600167,6.577056,5.32,19.31,-27.19,Yang2017,2017AJ....153..184Y,Yang2017,2017AJ....153..184Y
J020052.99-294249.15,30.220808,-29.713653,5.32,19.35,-27.15,Davies2026,2026arXiv260310135D,Davies2026,2026arXiv260310135D
J161425.13+464028.94,243.604723,46.674706,5.316,19.72,-26.78,Schneider2010,2010AJ....139.2360S,Lyke2020,2020ApJS..250....8L
J165902.12+270935.10,254.758824,27.15975,5.316,18.86,-27.64,Lyke2020,2020ApJS..250....8L,Zhu2023,2023ApJ...955..115Z
J073848.04+261532.82,114.700183,26.259116,5.316,20.93,-25.57,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J205134.59+215636.18,312.894137,21.943383,5.31,18.94,-27.55,Davies2026,2026arXiv260310135D,Davies2026,2026arXiv260310135D
J005243.44+455632.03,13.181021,45.942231,5.31,19.45,-27.05,Yang2019a,2019ApJ...871..199Y,Yang2019a,2019ApJ...871..199Y
